>> Train a Model.>> Finished.Trial 1/3 || Cycle 1/10 || Label set size 1000: Test acc 55.88
>> Train a Model.>> Finished.Trial 1/3 || Cycle 2/10 || Label set size 2000: Test acc 68.32
>> Train a Model.>> Finished.Trial 1/3 || Cycle 3/10 || Label set size 3000: Test acc 75.86
>> Train a Model.>> Finished.Trial 1/3 || Cycle 4/10 || Label set size 4000: Test acc 81.84
>> Train a Model.>> Finished.Trial 1/3 || Cycle 5/10 || Label set size 5000: Test acc 83.32
>> Train a Model.>> Finished.Trial 1/3 || Cycle 6/10 || Label set size 6000: Test acc 86.89
>> Train a Model.>> Finished.Trial 1/3 || Cycle 7/10 || Label set size 7000: Test acc 88.19
>> Train a Model.>> Finished.Trial 1/3 || Cycle 8/10 || Label set size 8000: Test acc 89.65
>> Train a Model.>> Finished.Trial 1/3 || Cycle 9/10 || Label set size 9000: Test acc 90.3
>> Train a Model.>> Finished.Trial 1/3 || Cycle 10/10 || Label set size 10000: Test acc 90.76
>> Train a Model.>> Finished.Trial 2/3 || Cycle 1/10 || Label set size 1000: Test acc 56.54
>> Train a Model.>> Finished.Trial 2/3 || Cycle 2/10 || Label set size 2000: Test acc 69.53
>> Train a Model.>> Finished.Trial 2/3 || Cycle 3/10 || Label set size 3000: Test acc 76.93
>> Train a Model.>> Finished.Trial 2/3 || Cycle 4/10 || Label set size 4000: Test acc 81.31
>> Train a Model.>> Finished.Trial 2/3 || Cycle 5/10 || Label set size 5000: Test acc 83.07
>> Train a Model.>> Finished.Trial 2/3 || Cycle 6/10 || Label set size 6000: Test acc 86.32
>> Train a Model.>> Finished.Trial 2/3 || Cycle 7/10 || Label set size 7000: Test acc 87.79
>> Train a Model.>> Finished.Trial 2/3 || Cycle 8/10 || Label set size 8000: Test acc 89.04
>> Train a Model.>> Finished.Trial 2/3 || Cycle 9/10 || Label set size 9000: Test acc 89.95
>> Train a Model.>> Finished.Trial 2/3 || Cycle 10/10 || Label set size 10000: Test acc 90.59
>> Train a Model.>> Finished.Trial 3/3 || Cycle 1/10 || Label set size 1000: Test acc 56.14
>> Train a Model.>> Finished.Trial 3/3 || Cycle 2/10 || Label set size 2000: Test acc 69.38
>> Train a Model.>> Finished.Trial 3/3 || Cycle 3/10 || Label set size 3000: Test acc 76.82
>> Train a Model.>> Finished.Trial 3/3 || Cycle 4/10 || Label set size 4000: Test acc 81.41
>> Train a Model.>> Finished.Trial 3/3 || Cycle 5/10 || Label set size 5000: Test acc 83.52
>> Train a Model.>> Finished.Trial 3/3 || Cycle 6/10 || Label set size 6000: Test acc 86.31
>> Train a Model.>> Finished.Trial 3/3 || Cycle 7/10 || Label set size 7000: Test acc 87.69
>> Train a Model.>> Finished.Trial 3/3 || Cycle 8/10 || Label set size 8000: Test acc 88.77
>> Train a Model.>> Finished.Trial 3/3 || Cycle 9/10 || Label set size 9000: Test acc 89.93
>> Train a Model.>> Finished.Trial 3/3 || Cycle 10/10 || Label set size 10000: Test acc 89.9
